Original Token,Stemmed Token
Neural,neural
network,network
models,model
have,have
shown,shown
their,their
promising,promis
opportunities,opportun
for,for
multi-task,multi-task
learning,learn
,,,
which,which
focus,focu
on,on
learning,learn
the,the
shared,share
layers,layer
to,to
extract,extract
the,the
common,common
and,and
task-invariant,task-invari
features,featur
.,.
However,howev
,,,
in,in
most,most
existing,exist
approaches,approach
,,,
the,the
extracted,extract
shared,share
features,featur
are,are
prone,prone
to,to
be,be
contaminated,contamin
by,by
task-specific,task-specif
features,featur
or,or
the,the
noise,nois
brought,brought
by,by
other,other
tasks,task
.,.
In,In
this,thi
paper,paper
,,,
we,we
propose,propos
an,an
adversarial,adversari
multi-task,multi-task
learning,learn
framework,framework
,,,
alleviating,allevi
the,the
shared,share
and,and
private,privat
latent,latent
feature,featur
spaces,space
from,from
interfering,interf
with,with
each,each
other,other
.,.
We,We
conduct,conduct
extensive,extens
experiments,experi
on,on
16,16
different,differ
text,text
classification,classif
tasks,task
,,,
which,which
demonstrates,demonstr
the,the
benefits,benefit
of,of
our,our
approach,approach
.,.
Besides,besid
,,,
we,we
show,show
that,that
the,the
shared,share
knowledge,knowledg
learned,learn
by,by
our,our
proposed,propos
model,model
can,can
be,be
regarded,regard
as,as
off-the-shelf,off-the-shelf
knowledge,knowledg
and,and
easily,easili
transferred,transfer
to,to
new,new
tasks,task
.,.
Multi-task,multi-task
learning,learn
is,is
an,an
effective,effect
approach,approach
to,to
improve,improv
the,the
performance,perform
of,of
a,a
single,singl
task,task
with,with
the,the
help,help
of,of
other,other
related,relat
tasks,task
.,.
Recently,recent
,,,
neural-based,neural-bas
models,model
for,for
multi-task,multi-task
learning,learn
have,have
become,becom
very,veri
popular,popular
,,,
ranging,rang
from,from
computer,comput
vision,vision
(,(
Misra,misra
et,et
al.,al.
,,,
2016,2016
;,;
Zhang,zhang
et,et
al.,al.
,,,
2014,2014
),)
to,to
natural,natur
language,languag
processing,process
(,(
Collobert,collobert
andWeston,andweston
,,,
2008,2008
;,;
Luong,luong
et,et
al.,al.
,,,
2015,2015
),)
,,,
since,sinc
they,they
provide,provid
a,a
convenient,conveni
way,way
of,of
combining,combin
information,inform
from,from
multiple,multipl
tasks,task
.,.
However,howev
,,,
most,most
existing,exist
work,work
on,on
multi-task,multi-task
learning,learn
(,(
Liu,liu
et,et
al.,al.
,,,
2016c,2016c
,,,
b,b
),)
attempts,attempt
to,to
divide,divid
the,the
features,featur
of,of
different,differ
tasks,task
into,into
private,privat
and,and
shared,share
spaces,space
,,,
merely,mere
based,base
on,on
whether,whether
parameters,paramet
of,of
some,some
components,compon
should,should
be,be
shared,share
.,.
As,As
shown,shown
in,in
Figure,figur
1-,1-
(,(
a,a
),)
,,,
the,the
general,gener
shared-private,shared-priv
model,model
introduces,introduc
two,two
feature,featur
spaces,space
for,for
any,ani
task,task
:,:
one,one
is,is
used,use
to,to
store,store
task-dependent,task-depend
features,featur
,,,
the,the
other,other
is,is
used,use
to,to
capture,captur
shared,share
features,featur
.,.
The,the
major,major
limitation,limit
of,of
this,thi
framework,framework
is,is
that,that
the,the
shared,share
feature,featur
space,space
could,could
contain,contain
some,some
unnecessary,unnecessari
task-specific,task-specif
features,featur
,,,
while,while
some,some
sharable,sharabl
features,featur
could,could
also,also
be,be
mixed,mix
in,in
private,privat
space,space
,,,
suffering,suffer
from,from
feature,featur
redundancy,redund
.,.
Taking,take
the,the
following,follow
two,two
sentences,sentenc
as,as
examples,exampl
,,,
which,which
are,are
extracted,extract
from,from
two,two
different,differ
sentiment,sentiment
classification,classif
tasks,task
:,:
Movie,movi
reviews,review
and,and
Baby,babi
products,product
reviews,review
.,.
The,the
infantile,infantil
cart,cart
is,is
simple,simpl
and,and
easy,easi
to,to
use,use
.,.
This,thi
kind,kind
of,of
humour,humour
is,is
infantile,infantil
and,and
boring,bore
.,.
The,the
word,word
“,“
infantile,infantil
”,”
indicates,indic
negative,neg
sentiment,sentiment
in,in
Movie,movi
task,task
while,while
it,it
is,is
neutral,neutral
in,in
Baby,babi
task,task
.,.
However,howev
,,,
the,the
general,gener
shared-private,shared-priv
model,model
could,could
place,place
the,the
task-specific,task-specif
word,word
“,“
infantile,infantil
”,”
in,in
a,a
shared,share
space,space
,,,
leaving,leav
potential,potenti
hazards,hazard
for,for
other,other
tasks,task
.,.
Additionally,addit
,,,
the,the
capacity,capac
of,of
shared,share
space,space
could,could
also,also
be,be
wasted,wast
by,by
some,some
unnecessary,unnecessari
features,featur
.,.
To,To
address,address
this,thi
problem,problem
,,,
in,in
this,thi
paper,paper
we,we
propose,propos
an,an
adversarial,adversari
multi-task,multi-task
framework,framework
,,,
in,in
which,which
the,the
shared,share
and,and
private,privat
feature,featur
spaces,space
are,are
in,in
herently,herent
disjoint,disjoint
by,by
introducing,introduc
orthogonality,orthogon
constraints.Specifically,constraints.specif
,,,
we,we
design,design
a,a
generic,gener
shared,share
private,privat
learning,learn
framework,framework
to,to
model,model
the,the
text,text
sequence,sequenc
.,.
