Original Token,Stemmed Token
Honestly,honestli
last,last
seven,seven
lectures,lectur
are,are
good,good
.,.
Lectures,lectur
are,are
understandable,understand
.,.
Lecture,lectur
slides,slide
are,are
very,veri
useful,use
to,to
self-study,self-studi
also,also
.,.
The,the
given,given
opportunity,opportun
to,to
ask,ask
questions,question
from,from
the,the
lecturer,lectur
is,is
appreciative,appreci
.,.
``,``
Good,good
:,:
),)
<,<
br,br
/,/
>,>
please,pleas
do,do
recap,recap
at,at
class,class
starting,start
it,it
&,&
#,#
039,039
;,;
s,s
better,better
for,for
us,us
.,.
<,<
br,br
/,/
>,>
sometimes,sometim
teaching,teach
speed,speed
is,is
very,veri
high,high
.,.
<,<
br,br
/,/
>,>
<,<
br,br
/,/
>,>
Thanks,thank
!,!
:,:
),)
<,<
br,br
/,/
>,>
``,``
The,the
lectures,lectur
are,are
good..but,good..but
a,a
bit,bit
speed.A,speed.a
in,in
class,class
working,work
activity,activ
is,is
a,a
must,must
one.So,one.so
please,pleas
take,take
another,anoth
hour,hour
in,in
thursdays,thursday
madame.,madame.
'',''
<,<
br,br
/,/
>,>
We,We
can,can
hear,hear
your,your
voice,voic
clearly,clearli
and,and
can,can
understand,understand
the,the
things,thing
you,you
teach,teach
.,.
Presentation,present
slides,slide
also,also
good,good
source,sourc
to,to
refer,refer
.,.
lf,lf
you,you
can,can
do,do
more,more
example,exampl
questions,question
within,within
the,the
classroom,classroom
and,and
it,it
will,will
help,help
us,us
to,to
understand,understand
the,the
principles,principl
well,well
.,.
<,<
br,br
/,/
>,>
'',''
Lectures,lectur
was,wa
well,well
structured,structur
and,and
well,well
organized,organ
.,.
It,It
was,wa
easy,easi
to,to
understand,understand
.,.
Lecture,lectur
slides,slide
and,and
labs,lab
were,were
also,also
well,well
organized,organ
.,.
Lectures,lectur
were,were
good,good
.,.
understandable,understand
.,.
The,the
lecture,lectur
slides,slide
were,were
well,well
organized,organ
and,and
the,the
examples,exampl
done,done
in,in
the,the
class,class
helped,help
a,a
lot,lot
to,to
learn,learn
this,thi
new,new
language,languag
and,and
also,also
the,the
principles,principl
of,of
OOP,oop
.,.
Motivated,motiv
to,to
well,well
.,.
Would,would
have,have
been,been
better,better
if,if
we,we
discussed,discuss
more,more
about,about
the,the
solutions,solut
of,of
coding,code
exercisers,exercis
.,.
I,I
think,think
i,i
learned,learn
a,a
lot,lot
from,from
the,the
codes,code
you,you
write,write
in,in
the,the
board,board
.,.
When,when
i,i
compare,compar
my,my
codes,code
with,with
yours,your
i,i
can,can
learn,learn
about,about
my,my
mistakes,mistak
and,and
good,good
coding,code
practices,practic
that,that
i,i
should,should
follow,follow
.,.
There,there
fore,fore
i,i
think,think
it,it
would,would
be,be
great,great
if,if
we,we
can,can
discuss,discuss
more,more
examples,exampl
in,in
the,the
class,class
.,.
madam,madam
explained,explain
the,the
oop,oop
concepts,concept
clearly,clearli
with,with
examples.lectures,examples.lectur
were,were
interesting.we,interesting.w
want,want
more,more
scenario,scenario
examples,exampl
and,and
answers,answer
with,with
explanations,explan
in,in
future,futur
.,.
I,I
satisfy,satisfi
about,about
first,first
7,7
lectures,lectur
.,.
That,that
way,way
of,of
teaching,teach
is,is
really,realli
good,good
for,for
coming,come
lectures,lectur
too,too
.,.
lectuers,lectuer
are,are
very,veri
good,good
.,.
take,take
good,good
effort,effort
to,to
make,make
undersatand,undersatand
every,everi
student,student
in,in
the,the
room,room
.,.
very,veri
helpfull,helpful
.,.
I,I
was,wa
able,abl
to,to
obtain,obtain
a,a
clear,clear
picture,pictur
about,about
OOP,oop
and,and
its,it
concepts,concept
.,.
``,``
lecture,lectur
slides,slide
,,,
explanations,explan
were,were
very,veri
clear,clear
.,.
<,<
br,br
/,/
>,>
it,it
&,&
#,#
039,039
;,;
s,s
very,veri
good,good
to,to
letting,let
ask,ask
questions,question
and,and
explain,explain
again,again
with,with
suitable,suitabl
examples,exampl
.,.
<,<
br,br
/,/
>,>
sometimes,sometim
,,,
some,some
codes,code
on,on
white,white
board,board
were,were
unclear,unclear
at,at
the,the
back,back
.,.
<,<
br,br
/,/
>,>
overall,overal
very,veri
good,good
!,!
!,!
!,!
<,<
br,br
/,/
>,>
'',''
The,the
lectures,lectur
were,were
good,good
and,and
clear,clear
.,.
And,and
they,they
weren,weren
&,&
#,#
039,039
;,;
t,t
too,too
fast,fast
.,.
Writing,write
code,code
was,wa
somewhat,somewhat
confusing,confus
because,becaus
I,I
didn,didn
&,&
#,#
039,039
;,;
t,t
know,know
java,java
before,befor
.,.
Actually,actual
teaching,teach
is,is
very,veri
good,good
and,and
can,can
understand,understand
easily,easili
the,the
concepts,concept
by,by
examples,exampl
which,which
are,are
given,given
in,in
the,the
class.it,class.it
will,will
be,be
more,more
helpful,help
if,if
provide,provid
solved,solv
questions,question
as,as
well,well
!,!
.,.
thankyou,thankyou
