Original Token,Lemmatized Token
Neural,Neural
network,network
models,model
have,have
shown,shown
their,their
promising,promising
opportunities,opportunity
for,for
multi-task,multi-task
learning,learning
,,,
which,which
focus,focus
on,on
learning,learning
the,the
shared,shared
layers,layer
to,to
extract,extract
the,the
common,common
and,and
task-invariant,task-invariant
features,feature
.,.
However,However
,,,
in,in
most,most
existing,existing
approaches,approach
,,,
the,the
extracted,extracted
shared,shared
features,feature
are,are
prone,prone
to,to
be,be
contaminated,contaminated
by,by
task-specific,task-specific
features,feature
or,or
the,the
noise,noise
brought,brought
by,by
other,other
tasks,task
.,.
In,In
this,this
paper,paper
,,,
we,we
propose,propose
an,an
adversarial,adversarial
multi-task,multi-task
learning,learning
framework,framework
,,,
alleviating,alleviating
the,the
shared,shared
and,and
private,private
latent,latent
feature,feature
spaces,space
from,from
interfering,interfering
with,with
each,each
other,other
.,.
We,We
conduct,conduct
extensive,extensive
experiments,experiment
on,on
16,16
different,different
text,text
classification,classification
tasks,task
,,,
which,which
demonstrates,demonstrates
the,the
benefits,benefit
of,of
our,our
approach,approach
.,.
Besides,Besides
,,,
we,we
show,show
that,that
the,the
shared,shared
knowledge,knowledge
learned,learned
by,by
our,our
proposed,proposed
model,model
can,can
be,be
regarded,regarded
as,a
off-the-shelf,off-the-shelf
knowledge,knowledge
and,and
easily,easily
transferred,transferred
to,to
new,new
tasks,task
.,.
Multi-task,Multi-task
learning,learning
is,is
an,an
effective,effective
approach,approach
to,to
improve,improve
the,the
performance,performance
of,of
a,a
single,single
task,task
with,with
the,the
help,help
of,of
other,other
related,related
tasks,task
.,.
Recently,Recently
,,,
neural-based,neural-based
models,model
for,for
multi-task,multi-task
learning,learning
have,have
become,become
very,very
popular,popular
,,,
ranging,ranging
from,from
computer,computer
vision,vision
(,(
Misra,Misra
et,et
al.,al.
,,,
2016,2016
;,;
Zhang,Zhang
et,et
al.,al.
,,,
2014,2014
),)
to,to
natural,natural
language,language
processing,processing
(,(
Collobert,Collobert
andWeston,andWeston
,,,
2008,2008
;,;
Luong,Luong
et,et
al.,al.
,,,
2015,2015
),)
,,,
since,since
they,they
provide,provide
a,a
convenient,convenient
way,way
of,of
combining,combining
information,information
from,from
multiple,multiple
tasks,task
.,.
However,However
,,,
most,most
existing,existing
work,work
on,on
multi-task,multi-task
learning,learning
(,(
Liu,Liu
et,et
al.,al.
,,,
2016c,2016c
,,,
b,b
),)
attempts,attempt
to,to
divide,divide
the,the
features,feature
of,of
different,different
tasks,task
into,into
private,private
and,and
shared,shared
spaces,space
,,,
merely,merely
based,based
on,on
whether,whether
parameters,parameter
of,of
some,some
components,component
should,should
be,be
shared,shared
.,.
As,As
shown,shown
in,in
Figure,Figure
1-,1-
(,(
a,a
),)
,,,
the,the
general,general
shared-private,shared-private
model,model
introduces,introduces
two,two
feature,feature
spaces,space
for,for
any,any
task,task
:,:
one,one
is,is
used,used
to,to
store,store
task-dependent,task-dependent
features,feature
,,,
the,the
other,other
is,is
used,used
to,to
capture,capture
shared,shared
features,feature
.,.
The,The
major,major
limitation,limitation
of,of
this,this
framework,framework
is,is
that,that
the,the
shared,shared
feature,feature
space,space
could,could
contain,contain
some,some
unnecessary,unnecessary
task-specific,task-specific
features,feature
,,,
while,while
some,some
sharable,sharable
features,feature
could,could
also,also
be,be
mixed,mixed
in,in
private,private
space,space
,,,
suffering,suffering
from,from
feature,feature
redundancy,redundancy
.,.
Taking,Taking
the,the
following,following
two,two
sentences,sentence
as,a
examples,example
,,,
which,which
are,are
extracted,extracted
from,from
two,two
different,different
sentiment,sentiment
classification,classification
tasks,task
:,:
Movie,Movie
reviews,review
and,and
Baby,Baby
products,product
reviews,review
.,.
The,The
infantile,infantile
cart,cart
is,is
simple,simple
and,and
easy,easy
to,to
use,use
.,.
This,This
kind,kind
of,of
humour,humour
is,is
infantile,infantile
and,and
boring,boring
.,.
The,The
word,word
“,“
infantile,infantile
”,”
indicates,indicates
negative,negative
sentiment,sentiment
in,in
Movie,Movie
task,task
while,while
it,it
is,is
neutral,neutral
in,in
Baby,Baby
task,task
.,.
However,However
,,,
the,the
general,general
shared-private,shared-private
model,model
could,could
place,place
the,the
task-specific,task-specific
word,word
“,“
infantile,infantile
”,”
in,in
a,a
shared,shared
space,space
,,,
leaving,leaving
potential,potential
hazards,hazard
for,for
other,other
tasks,task
.,.
Additionally,Additionally
,,,
the,the
capacity,capacity
of,of
shared,shared
space,space
could,could
also,also
be,be
wasted,wasted
by,by
some,some
unnecessary,unnecessary
features,feature
.,.
To,To
address,address
this,this
problem,problem
,,,
in,in
this,this
paper,paper
we,we
propose,propose
an,an
adversarial,adversarial
multi-task,multi-task
framework,framework
,,,
in,in
which,which
the,the
shared,shared
and,and
private,private
feature,feature
spaces,space
are,are
in,in
herently,herently
disjoint,disjoint
by,by
introducing,introducing
orthogonality,orthogonality
constraints.Specifically,constraints.Specifically
,,,
we,we
design,design
a,a
generic,generic
shared,shared
private,private
learning,learning
framework,framework
to,to
model,model
the,the
text,text
sequence,sequence
.,.
