Incorrect Biword,Corrected Result,Edit Distance Sum
good .,good a,1
. Lectures,a lectures,2
understandable .,understandable a,1
. Lecture,a lecture,2
Lecture slides,lecture sides,2
slides are,sides are,1
to self-study,to self study,2
self-study also,self study also,2
also .,also a,1
. The,a the,2
appreciative .,appreciative a,1
. ``,a of,3
`` Good,of good,3
Good :,good a,2
: ),a a,2
) <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> please,a please,1
do recap,do reap,1
recap at,reap at,1
it &,it a,1
& #,a a,2
# 039,a 39,2
039 ;,39 a,2
; s,a s,1
us .,us a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> sometimes,a sometimes,1
high .,high a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> Thanks,a thanks,2
Thanks !,thanks a,2
! :,a a,2
: ),a a,2
) <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> ``,a of,3
`` The,of the,3
are good..but,are good but,3
good..but a,good but a,3
bit speed.A,bit speed,2
speed.A in,speed in,2
must one.So,must one to,3
one.So please,one to please,3
thursdays madame.,thursdays madame,1
madame. '',madame ',2
'' <,' a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> We,a he,2
We can,he can,1
teach .,teach a,1
. Presentation,a presentation,2
Presentation slides,presentation sides,2
slides also,sides also,1
refer .,refer a,1
. lf,a of,2
lf you,of you,1
well .,well a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> '',a ',2
'' Lectures,' lectures,2
well structured,well structures,1
structured and,structures and,1
organized .,organized a,1
. It,a it,2
understand .,understand a,1
. Lecture,a lecture,2
Lecture slides,lecture sides,2
slides and,sides and,1
and labs,and laws,1
labs were,laws were,1
organized .,organized a,1
. Lectures,a lectures,2
good .,good a,1
. understandable,a understandable,1
understandable .,understandable a,1
. The,a the,2
lecture slides,lecture sides,1
slides were,sides were,1
OOP .,OOP a,4
. Motivated,a motivate,3
Motivated to,motivate to,2
well .,well a,1
. Would,a would,2
of coding,of coming,1
coding exercisers,coming exercises,2
exercisers .,exercises a,2
. I,a a,2
I think,a think,1
board .,board a,1
. When,a when,2
good coding,good coming,1
coding practices,coming practices,1
follow .,follow a,1
. There,a there,2
class .,class a,1
. madam,a madam,1
the oop,the top,1
oop concepts,top concepts,1
with examples.lectures,with examples lectures,2
examples.lectures were,examples lectures were,2
were interesting.we,were interesting we,2
interesting.we want,interesting we want,2
future .,future a,1
. I,a a,2
I satisfy,a satisfy,1
lectures .,lectures a,1
. That,a that,2
too .,too a,1
. lectuers,a lectures,2
lectuers are,lectures are,1
good .,good a,1
. take,a take,1
make undersatand,make understand,1
undersatand every,understand every,1
room .,room a,1
. very,a very,1
very helpfull,very helpful,1
helpfull .,helpful a,2
. I,a a,2
I was,a was,1
concepts .,concepts a,1
. ``,a of,3
`` lecture,of lecture,2
lecture slides,lecture sides,1
slides ,,sides a,2
, explanations,a explanations,1
clear .,clear a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> it,a it,1
it &,it a,1
& #,a a,2
# 039,a 39,2
039 ;,39 a,2
; s,a s,1
examples .,examples a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> sometimes,a sometimes,1
sometimes ,,sometimes a,1
, some,a some,1
back .,back a,1
. <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> overall,a overall,1
good !,good a,1
! !,a a,2
! !,a a,2
! <,a a,2
< br,a br,1
br /,br a,1
/ >,a a,2
> '',a ',2
'' The,' the,2
clear .,clear a,1
. And,a and,2
they weren,they were,1
weren &,were a,2
& #,a a,2
# 039,a 39,2
039 ;,39 a,2
; t,a t,1
fast .,fast a,1
. Writing,a writing,2
because I,because a,1
I didn,a did,2
didn &,did a,2
& #,a a,2
# 039,a 39,2
039 ;,39 a,2
; t,a t,1
know java,know cava,1
java before,cava before,1
before .,before a,1
. Actually,a actually,2
the class.it,the classic,2
class.it will,classic will,2
well !,well a,1
! .,a a,2
. thankyou,a thank you,2
